2026-08-25T17:09:20.220Z	Zerobarbecue117	illagerinvasion:invoker	T2	348	87%	#1
2026-08-27T23:56:36.741Z	mysteriousmex21	fromtheshadows:nehemoth	T0	116	100%	#1
2026-08-28T00:09:40.440Z	mysteriousmex21	fromtheshadows:nehemoth	T0	196	100%	#2
2026-08-28T01:11:42.242Z	mysteriousmex21	fromtheshadows:nehemoth	T0	188	100%	#3
2026-08-28T01:15:44.879Z	mysteriousmex21	fromtheshadows:nehemoth	T0	146	100%	#4
2026-08-28T01:21:19.123Z	mysteriousmex21	fromtheshadows:bulldrogioth	T0	386	100%	#1
2026-08-28T02:00:24.985Z	Zerobarbecue117	illageandspillage:absorber	T0	113	76%	#1
2026-08-28T03:03:16.143Z	Zerobarbecue117	wkcr:king	T0	74	70%	#1
2026-08-28T03:03:21.807Z	Zerobarbecue117	wkcr:king	T0	57	64%	#2
2026-08-28T03:07:35.496Z	Zerobarbecue117	majruszsdifficulty:tank	T0	138	53%	#1
2026-08-28T03:15:24.845Z	Zerobarbecue117	mutantmore:mutant_husk	T0	584	100%	#1
2026-08-28T05:39:56.141Z	melvin0czyk	minecraft:ravager	T0	40	24%	#1
2026-08-28T05:39:56.142Z	Zerobarbecue117	minecraft:ravager	T0	79	48%	#1
2026-08-28T07:05:49.248Z	melvin0czyk	twilightforest:naga	T1	1423	100%	#1
2026-08-29T03:54:53.549Z	mysteriousmex21	legendary_monsters:ancient_guardian	T1	897	69%	#1
2026-08-29T03:54:53.550Z	Zerobarbecue117	legendary_monsters:ancient_guardian	T1	1094	84%	#1
2026-08-29T04:27:15.758Z	mysteriousmex21	minecraft:evoker	T0	413	58%	#1
2026-08-29T04:27:15.758Z	Zerobarbecue117	minecraft:evoker	T0	457	64%	#1
2026-08-29T04:31:40.504Z	Zerobarbecue117	mutantmonsters:mutant_skeleton	T0	120	47%	#1
2026-08-29T06:14:34.339Z	mysteriousmex21	fromtheshadows:nehemoth	T0	426	100%	#5
2026-08-29T06:15:57.187Z	mysteriousmex21	fromtheshadows:nehemoth	T0	424	100%	#6
2026-08-29T06:27:33.745Z	blindhustler	twilightforest:naga	T1	289	83%	#1
2026-08-29T06:27:33.745Z	melvin0czyk	twilightforest:naga	T1	105	30%	#2
2026-08-29T06:30:18.732Z	mysteriousmex21	twilightforest:naga	T1	1009	100%	#1
2026-08-29T06:44:33.225Z	blindhustler	twilightforest:naga	T1	310	78%	#2
2026-08-29T06:44:33.226Z	melvin0czyk	twilightforest:naga	T1	347	87%	#3
2026-08-29T06:45:48.994Z	mysteriousmex21	twilightforest:naga	T1	1015	100%	#2
2026-08-29T06:47:53.220Z	melvin0czyk	twilightforest:naga	T1	95	24%	#4
2026-08-29T06:47:53.220Z	mysteriousmex21	twilightforest:naga	T1	312	78%	#3
2026-08-29T07:07:56.159Z	mysteriousmex21	twilightforest:naga	T1	507	100%	#4
2026-08-29T07:08:09.908Z	mysteriousmex21	twilightforest:naga	T1	476	100%	#5
2026-08-29T07:13:47.367Z	mysteriousmex21	twilightforest:naga	T1	841	100%	#6
2026-08-29T07:35:32.852Z	mysteriousmex21	twilightforest:naga	T1	543	100%	#7
2026-08-29T07:36:06.448Z	mysteriousmex21	twilightforest:naga	T1	556	100%	#8
